A,B,recent,hist,joined_sh,score,r_ret,h_ret,r_rank,h_rank,rank_avg,score_rank,rank_avg_rank,joined_rank
core-2m/same_sector_slide3m_noscreen,sp500-12m/cross_sector_slide3m_noscreen,0.903463864807412,-0.20938521555785622,0.1405529039640221,-0.20938521555785622,0.09974728880579002,-0.020916619841338968,132,341,236.5,329,228,269
core-2m/same_sector_slide3m_noscreen,sp500-12m/cross_sector_slide3m_bd7,1.0764201704531895,0.0774935440886864,0.34053344361025706,0.0774935440886864,0.09201296378683028,0.0028859026075498395,68,202,135.0,183,64,148
core-2m/same_sector_slide3m_noscreen,sp500-12m/cross_sector_slide1m_noscreen,1.0598670483275756,0.06780242909605005,0.3984986495568559,0.06780242909605005,0.0994051710034208,0.0022886020389092376,71,208,139.5,189,68,111
core-2m/same_sector_slide3m_noscreen,sp500-12m/cross_sector_slide1m_bd7,0.8245356849444037,0.08524335485201218,0.3396296987454228,0.08524335485201218,0.06926820587325633,0.003126866064136369,161,201,181.0,182,125,150
core-2m/same_sector_slide3m_bd7,core-2m/same_sector_slide1m_noscreen,1.040448414588614,-0.5397364910043126,-0.004962124413636429,-0.5397364910043126,0.08591853463464645,-0.032818808918863684,78,447,262.5,446,287,359
core-2m/same_sector_slide3m_bd7,core-2m/same_sector_slide1m_bd7,0.9306212577441337,-0.5960056526140879,-0.08965791621609573,-0.5960056526140879,0.0737718554935185,-0.031601439594510894,119,454,286.5,453,331,402
core-2m/same_sector_slide3m_bd7,core-2m/cross_sector_slide3m_noscreen,0.5949614151857988,-0.3840693421938638,-0.20005415189258033,-0.3840693421938638,0.07258963187732344,-0.09553836124272419,256,412,334.0,407,400,450
core-2m/same_sector_slide3m_bd7,core-2m/cross_sector_slide3m_bd7,0.14731155187774755,-0.36262268279157683,-0.26919375111496396,-0.36262268279157683,0.020719511373114653,-0.10181373577816932,448,406,427.0,400,480,463
core-2m/same_sector_slide3m_bd7,core-2m/cross_sector_slide1m_noscreen,0.9373313998742805,-0.8333700796955802,-0.29560501770916875,-0.8333700796955802,0.08509708984013065,-0.06291896360028104,116,483,299.5,483,349,471
core-2m/same_sector_slide3m_bd7,core-2m/cross_sector_slide1m_bd7,0.3422015849378331,-0.37732089923061507,-0.1810293185207069,-0.37732089923061507,0.0279894266231935,-0.031745230980200545,380,410,395.0,405,450,445
core-2m/same_sector_slide3m_bd7,sp500-2m/same_sector_slide3m_noscreen,0.6389526230329021,-0.011095684254420883,0.18192405652737767,-0.011095684254420883,0.0544244282235619,-0.0037432817879984315,236,247,241.5,232,241,252
core-2m/same_sector_slide3m_bd7,sp500-2m/same_sector_slide3m_bd7,0.712472408473755,-0.20167812789686476,0.10569525949630407,-0.20167812789686476,0.05546593123932704,-0.012689078874260518,206,332,269.0,321,306,297
core-2m/same_sector_slide3m_bd7,sp500-2m/same_sector_slide1m_noscreen,0.24308461118726282,0.008484353256931391,0.0958241270783973,0.008484353256931391,0.01893047478689125,-0.0008986502882911696,416,234,325.0,216,389,305
core-2m/same_sector_slide3m_bd7,sp500-2m/same_sector_slide1m_bd7,0.2841426222585247,-0.3770185396586098,-0.11601922628491095,-0.3770185396586098,0.021037213577643564,-0.015744367798134373,401,409,405.0,404,462,412
core-2m/same_sector_slide3m_bd7,sp500-2m/cross_sector_slide3m_noscreen,0.32248302706231124,0.2116480987955776,0.24050474258633328,0.2116480987955776,0.030210648660165096,0.015938993045868655,384,137,260.5,110,285,210
core-2m/same_sector_slide3m_bd7,sp500-2m/cross_sector_slide3m_bd7,0.0027606661312533087,0.6397294924505735,0.4703656454317825,0.0027606661312533087,0.007014910823862852,0.04579096754360168,468,27,247.5,222,254,82
core-2m/same_sector_slide3m_bd7,sp500-2m/cross_sector_slide1m_noscreen,0.4458444283998941,-0.172848702513292,0.03403920512075191,-0.172848702513292,0.0360331643061587,-0.011686968577017565,332,314,323.0,303,385,343
core-2m/same_sector_slide3m_bd7,sp500-2m/cross_sector_slide1m_bd7,0.06698517285008074,-0.09090738385579807,-0.020183957317495473,-0.09090738385579807,0.00780397030263349,-0.0044296696455706774,461,283,372.0,268,434,371
core-2m/same_sector_slide3m_bd7,core-12m/same_sector_slide3m_noscreen,0.5383793050692863,-1.0959189798695232,-0.586467246830752,-1.0959189798695232,0.03259842912665114,-0.04763945110097789,289,496,392.5,496,448,494
core-2m/same_sector_slide3m_bd7,core-12m/same_sector_slide3m_bd7,0.5802200750062637,-0.8919858774339267,-0.3131840716041605,-0.8919858774339267,0.03745155920279737,-0.03350949062373687,266,488,377.0,488,436,477
core-2m/same_sector_slide3m_bd7,core-12m/same_sector_slide1m_noscreen,0.4831619142947855,-0.8488524726473464,-0.382634975247725,-0.8488524726473464,0.028399244345223052,-0.03057881116954042,319,484,401.5,484,458,483
core-2m/same_sector_slide3m_bd7,core-12m/same_sector_slide1m_bd7,0.5311411311577027,-0.8798430278143494,-0.22486306044057422,-0.8798430278143494,0.041798087310838936,-0.027041125531761523,293,486,389.5,486,445,457
core-2m/same_sector_slide3m_bd7,core-12m/cross_sector_slide3m_noscreen,0.29878988621063335,-1.0619971255613363,-0.5190419679031926,-1.0619971255613363,0.032147723511049595,-0.060439703842532944,396,495,445.5,495,493,493
core-2m/same_sector_slide3m_bd7,core-12m/cross_sector_slide3m_bd7,0.4652045749120396,-0.4722238527749513,-0.13654019354352823,-0.4722238527749513,0.03846357345786087,-0.02455102648130758,323,437,380.0,435,439,422
